"Carimbo de data/hora","Quais serviços você conhece? (selecione uma ou mais)","Quais serviços você ou sua família assinam? (selecione uma ou mais)","Quais serviços você mais gosta? (selecione uma ou mais)","Idade","Gênero","Ocupação","Quantas crianças (menor de 10 anos) moram com você?","Tipo de conteúdo preferido:","Durante a semana, quantas horas você assiste de streaming por dia?","De final de semana, quantas horas você assiste de streaming por dia?","Quais dispositivos você utiliza para assistir streaming? (selecione uma ou mais)","Qual preço você julga justo assinar?","Qual sua renda familiar mensal?","O que poderia melhorar nos serviços de streaming que você assina?"
"2022/05/03 10:53:11 PM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Globoplay","Netflix;Disney+;Prime Video;Globoplay","55","Masculino","Trabalhando","0","Esportes","2","4","Smart TV;Celular","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais;Conexão"
"2022/05/03 11:38:04 PM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Prime Video","Netflix;Prime Video","22","Masculino","Estudando","0","Séries","3","1","Smart TV;Notebook ou PC","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Mais produções nacionais"
"2022/05/04 2:14:53 AM GMT-3","Netflix;Disney+;Star+;Prime Video;Globoplay","Netflix;Prime Video","Netflix","43","Masculino","Trabalhando","0","Filmes","0","3","Smart TV;Google Chromecast ou similar","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries;Interface"
"2022/05/04 3:54:06 AM GMT-3","Netflix;Disney+;Prime Video;HBO Max;Globoplay","Netflix","Netflix","55","Masculino","Trabalhando","0","Filmes","8","2","Smart TV","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries;Conexão"
"2022/05/04 4:11:19 AM GMT-3","Netflix","Netflix","Netflix","58","Masculino","Aposentado","0","Filmes","2","3","Notebook ou PC","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Maior catálogo de filmes e séries"
"2022/05/04 7:19:18 AM GMT-3","Netflix;Disney+;HBO Max","Netflix;Disney+","Netflix;Disney+","53","Masculino","Trabalhando","0","Filmes","0","1","Smart TV","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/04 7:37:55 AM GMT-3","Netflix;HBO Max;Globoplay","Netflix","Disney+","54","Feminino","Trabalhando","0","Séries","0","2","Smart TV;Tablet ou iPad","R$15,00 - R$25,00","R$1.000,00 - R$5.000,00","Preço;Maior catálogo de filmes e séries"
"2022/05/04 7:42:27 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Hulu;Globoplay","Netflix;Prime Video;HBO Max;Globoplay","Netflix;Prime Video;HBO Max","67","Masculino","Aposentado","0","Séries","5","5","Smart TV","R$5,00 - R$15,00","R$10.000,00 - R$20.000,00","Preço;Maior catálogo de filmes e séries;Interface"
"2022/05/04 7:42:50 AM GMT-3","Netflix;Disney+;Star+;Prime Video;HBO Max;Globoplay","Netflix;Disney+;Prime Video","Netflix;Disney+","41","Masculino","Trabalhando","1-2","Séries","1","2","Google Chromecast ou similar;Tablet ou iPad","R$15,00 - R$25,00","Mais de R$20.000,00","Maior catálogo de filmes e séries"
"2022/05/04 7:51:32 AM GMT-3","Netflix","Netflix;Prime Video","Netflix;Prime Video","61","Masculino","Trabalhando","0","Documentários","1","1","Smart TV","R$15,00 - R$25,00","R$10.000,00 - R$20.000,00","Nada"
